epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,13.1394,0.89926,3.08181,1.45699,0.00185,0.66667,0.01557,0.00534,1.33145,3.62184,2.31391,0.0980192,1.9208e-05,1.9208e-05
4,17.2924,0.79448,2.98259,1.34944,0.00177,0.66667,0.01315,0.00426,1.59647,3.61159,2.69377,0.0970282,2.8218e-05,2.8218e-05
5,21.6464,0.74976,2.81607,1.26069,0.006,0.77778,0.10678,0.02671,1.53377,3.58528,2.92534,0.0960368,3.6832e-05,3.6832e-05
6,25.7664,0.76636,2.89198,1.38972,0.00419,0.77778,0.05906,0.01298,1.49053,3.52577,3.00897,0.0950451,4.505e-05,4.505e-05
7,29.9091,0.72231,2.68186,1.27671,0.00397,1,0.02845,0.01316,1.43744,3.50277,2.96728,0.0940529,5.2872e-05,5.2872e-05
8,34.1724,0.53794,2.49221,1.11689,0.00388,1,0.08365,0.02646,1.328,3.56203,2.9014,0.0930603,6.0298e-05,6.0298e-05
9,38.4844,0.58853,2.409,1.15526,0.00392,1,0.12476,0.04674,1.29371,3.60338,3.00887,0.0920673,6.7328e-05,6.7328e-05
10,42.8252,0.64044,2.33764,1.13618,0.00387,1,0.27535,0.09681,1.2462,3.65476,2.89413,0.091074,7.3962e-05,7.3962e-05
11,46.9542,0.45623,2.21349,1.12658,0.0038,1,0.35132,0.07158,1.31888,3.92173,2.94816,0.0900802,8.02e-05,8.02e-05
12,51.0732,0.43784,2.27975,1.0407,0.00348,1,0.21306,0.08561,1.66195,4.47157,3.47043,0.089086,8.6042e-05,8.6042e-05
13,55.1292,0.5273,2.12355,1.08701,0.00348,1,0.18421,0.06407,2.31157,5.41077,3.92665,0.0880915,9.1488e-05,9.1488e-05
14,59.3802,0.38162,2.16497,1.01294,0.00379,1,0.28096,0.08338,2.61669,5.885,4.18115,0.0870965,9.6538e-05,9.6538e-05
15,63.5742,0.41415,2.34196,1.07355,0.0044,1,0.22374,0.08036,2.98833,5.06925,4.19115,0.0861012,0.000101192,0.000101192
16,67.9602,0.40694,1.93908,1.03657,0.00443,1,0.32367,0.09823,3.05408,4.40378,4.16603,0.0851054,0.00010545,0.00010545
17,72.2282,0.39456,1.9826,1.01747,0.0037,1,0.5391,0.15167,2.56653,4.02294,3.60532,0.0841093,0.000109312,0.000109312
18,76.2642,0.40395,2.00896,0.98955,0.0037,1,0.5391,0.15167,2.56653,4.02294,3.60532,0.0831128,0.000112778,0.000112778
19,80.4235,0.46457,2.03692,1.1022,0.00339,1,0.50694,0.19854,2.1433,3.61304,3.26307,0.0821158,0.000115848,0.000115848
20,84.548,0.47225,2.07204,1.1007,0.00339,1,0.50694,0.19854,2.1433,3.61304,3.26307,0.0811185,0.000118522,0.000118522
21,88.6369,0.41847,1.99377,1.06358,0.0037,1,0.49225,0.23868,1.78151,3.37596,2.89763,0.0801208,0.0001208,0.0001208
22,92.7909,0.36326,1.86935,0.94904,0.0037,1,0.49225,0.23868,1.78151,3.37596,2.89763,0.0791227,0.000122682,0.000122682
23,96.9109,0.48664,1.79641,1.00423,0.00441,1,0.45842,0.21592,1.75594,3.3552,2.90957,0.0781242,0.000124168,0.000124168
24,101.161,0.38827,1.78519,1.02071,0.00441,1,0.45842,0.21592,1.75594,3.3552,2.90957,0.0771253,0.000125258,0.000125258
25,105.458,0.39291,1.90901,1.01571,0.00467,1,0.5372,0.26099,1.69724,3.29519,2.84737,0.076126,0.000125952,0.000125952
26,109.413,0.36511,1.78118,0.96802,0.00467,1,0.5372,0.26099,1.69724,3.29519,2.84737,0.0751263,0.00012625,0.00012625
27,113.528,0.40826,1.84605,1.0229,0.00508,1,0.55306,0.29021,1.63602,3.26084,2.80927,0.0741262,0.000126152,0.000126152
28,117.642,0.35997,1.8252,0.98124,0.00508,1,0.55306,0.29021,1.63602,3.26084,2.80927,0.0731257,0.000125658,0.000125658
29,122.02,0.36274,1.78037,0.97081,0.00606,1,0.5116,0.27349,1.57332,3.28481,2.91004,0.0721248,0.000124768,0.000124768
30,126.342,0.36566,1.8674,0.9549,0.00606,1,0.5116,0.27349,1.57332,3.28481,2.91004,0.0711235,0.000123482,0.000123482
31,130.574,0.32071,1.71063,0.9084,0.00786,1,0.5116,0.24289,1.54928,3.21353,2.83879,0.0701218,0.0001218,0.0001218
32,135.171,0.3237,1.62455,0.96935,0.00786,1,0.5116,0.24289,1.54928,3.21353,2.83879,0.0691197,0.000119722,0.000119722
33,139.405,0.38079,1.75123,0.9898,0.00668,1,0.60806,0.29099,1.62297,3.19383,2.79678,0.0681172,0.000117248,0.000117248
34,143.869,0.37192,1.67327,0.97864,0.00668,1,0.60806,0.29099,1.62297,3.19383,2.79678,0.0671144,0.000114378,0.000114378
35,148.244,0.33221,1.61876,0.98989,0.00625,1,0.60806,0.27919,1.49999,3.15406,2.68448,0.0661111,0.000111112,0.000111112
36,152.445,0.36814,1.65095,0.94413,0.00625,1,0.60806,0.27919,1.49999,3.15406,2.68448,0.0651075,0.00010745,0.00010745
37,156.703,0.31357,1.59881,0.86992,0.00539,1,0.58056,0.33528,1.28117,3.09943,2.53017,0.0641034,0.000103392,0.000103392
